order_id,customer_id,order_date,product_id,product_category,quantity,unit_price,discount,tax,shipping_cost,order_amount,payment_method,order_status,sales_region
51,677,2026-02-18,108,Home,2,212.46,11.83,27.1,6.35,967.28,Card,Pending,East
52,840,2026-02-23,217,Books,2,265.12,11.57,5.17,8.38,-32.49,Card,Pending,West
53,905,2025-08-30,284,Books,4,150.37,1.5,25.74,10.26,35.26,Card,Cancelled,North
54,567,2025-10-29,109,Electronics,5,54.88,25.49,2.88,13.93,308.12,UPI,Cancelled,North
55,674,2025-12-08,158,Electronics,2,36.94,46.87,16.81,16.03,318.1,Cash,Completed,North
56,824,2025-05-02,118,Home,5,119.92,12.41,19.86,5.35,73.58,UPI,Pending,East
57,669,2026-01-11,101,Electronics,1,107.32,13.48,2.7,8.94,491.24,Card,Completed,West
58,871,2026-04-22,273,Home,3,223.35,26.37,22.25,19.26,806.08,UPI,Pending,South
59,129,2026-01-30,205,Books,2,204.09,31.88,9.88,2.15,851.99,Cash,Completed,South
60,527,2025-05-08,138,Books,2,134.47,31.06,9.12,14.37,795.16,UPI,Returned,East
61,728,2025-11-19,267,Electronics,5,188.18,25.88,19.15,9.99,425.0,Card,Pending,East
62,277,2026-05-07,165,Electronics,3,297.62,8.71,6.87,16.79,741.8,Card,Pending,East
63,503,2025-02-21,207,Books,2,142.97,19.39,20.76,1.22,49.24,Card,Pending,West
64,601,2025-07-16,276,Books,2,122.93,2.99,4.22,15.36,6.02,UPI,Returned,East
65,749,2025-02-12,179,Home,1,150.12,40.44,6.65,3.96,179.45,Cash,Returned,West
66,929,2025-04-11,202,Home,1,78.93,4.2,21.91,17.19,967.43,Card,Completed,North
67,680,2025-08-04,221,Books,5,213.83,16.46,23.55,7.31,977.11,UPI,Pending,North
68,261,2025-03-03,169,Electronics,4,246.41,36.4,21.7,11.4,,UPI,Completed,West
69,422,2026-02-24,248,Electronics,1,177.57,35.0,1.71,9.74,468.5,Cash,Pending,South
70,339,2025-04-07,259,Home,4,85.89,44.97,14.64,7.89,,Card,Cancelled,South
71,61,2025-01-13,278,Books,1,39.08,27.01,16.85,13.61,71.1,Cash,Cancelled,West
72,645,2025-06-06,108,Home,2,197.54,24.84,5.35,11.64,149.81,Card,Pending,North
73,994,2025-09-22,176,Books,3,292.84,9.99,10.96,16.57,847.34,UPI,Returned,North
74,349,2025-02-16,252,Electronics,4,114.91,16.22,14.83,8.74,699.64,Cash,Completed,East
75,79,2025-06-24,244,Books,1,116.48,2.91,12.22,15.65,-33.72,Cash,Pending,West
76,784,2025-04-25,294,Home,2,51.79,12.77,1.9,19.66,628.03,UPI,Cancelled,North
77,541,2025-10-22,143,Books,4,282.63,30.23,4.74,8.2,921.29,Cash,Pending,South
78,356,2026-04-12,164,Electronics,4,200.43,11.91,23.55,5.78,691.41,UPI,Completed,South
79,71,2025-02-24,116,Home,3,38.18,27.59,24.74,4.47,461.43,UPI,Cancelled,West
80,620,2025-10-26,182,Home,5,159.44,33.24,12.83,5.2,656.13,Cash,Completed,South
81,630,2026-01-21,243,Books,4,117.24,9.09,12.09,2.1,552.1,Cash,Cancelled,South
82,367,2026-04-07,140,Electronics,4,79.07,29.18,16.2,10.1,-42.38,UPI,Pending,South
83,814,2025-04-14,218,Books,5,147.08,28.65,5.23,10.1,738.79,Card,Pending,North
84,155,2026-02-09,108,Home,3,49.54,1.79,10.61,4.13,185.3,Cash,Pending,South
85,323,2026-05-13,222,Home,2,262.41,15.71,2.44,3.26,863.4,Cash,Pending,North
86,904,2026-03-17,190,Electronics,4,266.25,4.68,16.06,14.32,261.07,Cash,Cancelled,South
87,666,2025-11-12,248,Books,5,217.84,9.6,25.89,18.85,580.54,UPI,Completed,South
88,980,2025-04-24,205,Home,5,239.25,31.77,15.38,9.73,286.04,UPI,Returned,West
89,273,2026-02-01,224,Electronics,3,36.45,26.72,19.78,11.45,947.09,UPI,Cancelled,South
90,511,2025-08-21,136,Home,3,70.35,11.89,10.79,16.65,19.79,Card,Cancelled,East
91,907,2025-04-29,201,Books,1,226.11,43.79,9.69,11.6,450.53,UPI,Cancelled,West
92,125,2025-05-19,132,Home,2,292.47,36.16,29.16,11.56,393.94,Cash,Completed,West
93,937,2026-03-25,230,Books,1,154.48,38.16,14.2,2.25,299.42,UPI,Pending,West
94,403,2026-04-11,299,Home,4,287.36,44.1,23.03,0.58,-48.65,Card,Returned,East
95,818,2025-02-26,203,Books,5,237.49,39.23,11.6,15.82,766.9,Card,Completed,East
96,150,2025-04-04,198,Books,5,278.87,21.4,28.42,17.35,911.26,Card,Cancelled,South
97,589,2025-09-13,209,Books,2,277.72,48.29,22.89,4.86,341.44,Cash,Returned,North
98,651,2025-03-30,281,Electronics,3,218.56,48.25,18.49,18.59,939.1,UPI,Completed,West
99,405,2025-02-27,227,Books,2,168.55,30.09,12.28,3.16,147.01,UPI,Cancelled,North
100,867,2025-03-25,210,Home,3,53.09,2.97,8.66,4.45,786.45,UPI,Returned,West
101,653,2025-05-11,137,Books,2,262.94,8.34,4.59,2.81,14.42,Cash,Pending,West
102,81,2025-02-22,155,Home,2,116.28,37.84,27.16,3.89,613.16,Card,Cancelled,South
103,972,2025-08-06,170,Books,5,230.75,22.89,12.97,8.69,619.38,UPI,Completed,North
104,683,2025-07-17,115,Electronics,1,207.19,39.92,15.24,11.86,812.43,UPI,Pending,North
105,872,2026-02-02,179,Books,1,187.07,5.03,20.19,10.76,268.67,UPI,Cancelled,East
106,543,2025-02-26,209,Home,2,30.15,16.47,3.91,12.75,640.33,Card,Returned,South
107,681,2025-08-30,198,Home,2,11.18,29.34,18.42,3.28,645.77,Cash,Cancelled,North
108,937,2026-04-24,262,Electronics,1,168.29,7.77,25.99,19.94,548.63,Card,Cancelled,West
109,256,2025-08-30,222,Home,2,134.9,42.97,23.87,2.79,733.24,UPI,Pending,South
110,760,2025-10-29,272,Books,3,256.79,12.47,1.22,17.49,925.59,Card,Returned,East
111,389,2025-05-06,245,Home,2,106.84,22.22,6.4,10.67,22.33,Cash,Returned,East
112,55,2025-08-09,155,Books,4,100.1,39.16,19.44,4.14,644.23,Cash,Pending,North
113,416,2025-07-11,232,Electronics,5,41.81,44.45,16.63,10.92,662.85,Cash,Completed,South
114,935,2025-08-16,113,Electronics,3,26.71,48.81,18.91,2.71,37.01,Card,Completed,West
115,220,2025-11-22,293,Electronics,3,197.17,20.91,6.12,16.01,930.5,Card,Returned,North
116,1016,2025-05-17,105,Books,1,136.75,47.09,1.34,8.6,415.91,UPI,Completed,North
117,162,2026-03-04,258,Electronics,5,47.78,16.76,16.93,5.85,539.22,Card,Completed,East
118,658,2025-05-08,222,Books,4,157.13,40.24,6.93,16.16,395.92,Cash,Cancelled,East
119,765,2025-06-07,194,Home,1,205.79,41.01,5.51,17.65,506.92,Cash,Pending,West
120,815,2025-10-17,177,Electronics,2,136.89,30.4,24.38,11.96,89.47,UPI,Cancelled,East
121,552,2025-03-02,231,Books,3,144.4,19.34,6.61,5.22,437.75,UPI,Completed,South
122,782,2025-07-29,172,Home,5,232.13,20.85,24.41,7.38,358.81,Card,Completed,West
123,293,2025-11-22,223,Home,1,21.9,18.29,1.48,15.97,337.71,Cash,Completed,South
124,113,2025-03-05,213,Books,5,270.11,34.38,9.28,1.77,335.91,Cash,Cancelled,East
125,20,2025-07-24,296,Home,5,6.37,17.63,5.56,2.54,513.81,UPI,Returned,East
126,239,2025-12-19,237,Electronics,3,189.15,11.68,16.49,6.38,770.63,Card,Pending,West
127,1018,2026-03-11,170,Electronics,2,226.38,49.0,27.63,9.27,414.1,Cash,Cancelled,West
128,548,2025-11-27,173,Electronics,1,173.2,45.27,6.69,17.73,842.47,UPI,Cancelled,North
129,124,2025-06-27,252,Home,2,228.19,24.37,7.12,18.92,103.09,Card,Completed,West
130,359,2025-04-08,240,Electronics,4,272.97,17.73,5.57,11.43,351.85,Cash,Pending,East
131,901,2026-03-06,217,Books,1,109.8,25.14,17.43,16.26,689.36,Card,Completed,South
132,249,2026-01-16,168,Electronics,3,299.38,24.23,20.59,8.64,510.48,Card,Pending,East
133,108,2025-02-04,171,Books,1,264.44,49.45,27.41,7.43,441.58,UPI,Cancelled,East
134,54,2025-04-10,200,Electronics,1,175.35,9.1,13.2,0.03,978.11,UPI,Pending,South
135,624,2025-12-27,137,Electronics,3,167.52,36.7,19.95,18.9,-22.91,Cash,Returned,West
136,573,2025-09-07,145,Home,4,20.28,1.29,17.49,1.07,,Card,Completed,East
137,435,2025-05-05,103,Electronics,3,157.26,20.74,15.84,15.95,280.69,Cash,Returned,West
138,382,2025-07-05,154,Electronics,3,222.88,12.7,20.32,14.81,798.91,Card,Cancelled,South
139,427,2026-01-13,291,Books,2,162.01,17.21,22.36,11.23,836.56,UPI,Pending,East
140,33,2026-05-14,215,Electronics,3,115.72,18.47,16.27,7.74,0.12,Card,Pending,East
141,824,2025-08-28,171,Home,4,112.13,11.85,13.2,14.96,533.76,Cash,Returned,East
142,472,2025-05-16,282,Home,4,144.64,15.44,24.51,15.2,850.68,Card,Completed,North
143,604,2025-01-06,213,Electronics,1,31.45,5.65,3.16,2.47,581.94,UPI,Returned,South
144,211,2026-02-12,110,Home,1,285.55,37.29,6.68,17.41,498.89,Card,Cancelled,West
145,194,2025-07-02,140,Home,4,19.45,26.94,10.17,8.76,56.59,UPI,Pending,West
146,335,2026-02-26,263,Electronics,5,59.64,25.49,17.9,17.97,-12.81,Card,Returned,South
147,90,2026-03-08,167,Home,4,103.79,12.22,4.74,9.64,800.44,Card,Returned,West
148,592,2026-01-23,149,Books,1,166.61,49.73,13.17,7.73,557.13,Card,Completed,East
149,85,2026-04-01,155,Home,4,57.62,15.99,6.78,10.97,176.74,Card,Completed,North
150,969,2026-05-13,203,Electronics,4,177.94,33.21,26.57,12.69,635.54,Card,Returned,East
151,134,2026-04-08,145,Home,5,148.1,24.46,22.64,3.62,362.24,Cash,Cancelled,East
152,410,2025-09-17,209,Home,1,30.19,33.17,25.64,3.47,90.05,Cash,Pending,South
153,858,2025-12-17,173,Books,3,220.3,46.8,2.75,11.59,567.11,Cash,Completed,South
154,182,2025-01-26,177,Home,1,268.16,34.39,24.3,5.56,572.39,Cash,Completed,South
155,304,2025-02-02,241,Books,3,97.08,44.12,16.2,5.84,820.91,Card,Completed,North
156,227,2025-04-04,274,Home,1,247.14,11.96,15.35,10.01,833.81,UPI,Cancelled,East
157,393,2025-02-16,138,Home,1,238.87,39.3,27.93,2.29,970.29,Card,Returned,West
158,385,2025-06-08,155,Books,3,47.33,11.88,13.2,15.37,431.95,Card,Completed,North
159,425,2025-05-27,192,Home,3,248.56,47.9,21.96,8.52,240.46,Cash,Cancelled,North
160,399,2026-04-19,153,Electronics,4,97.96,46.6,8.06,13.42,302.51,Card,Pending,South
161,136,2026-01-18,127,Home,3,146.9,1.55,22.91,17.45,53.48,Cash,Returned,North
162,101,2025-08-23,126,Home,1,299.42,25.93,20.76,7.88,27.6,UPI,Pending,North
163,333,2025-01-07,231,Home,3,23.69,19.18,28.3,0.36,181.32,UPI,Completed,East
164,45,2025-01-24,228,Electronics,2,212.25,6.98,13.9,17.74,367.9,UPI,Pending,East
165,856,2026-04-09,298,Books,2,290.45,15.4,16.09,1.2,937.2,UPI,Cancelled,North
166,151,2025-08-27,177,Home,5,288.54,1.83,13.85,4.76,521.38,UPI,Pending,West
167,976,2025-10-25,125,Home,4,246.77,4.91,2.01,6.91,691.88,UPI,Returned,West
168,111,2025-03-19,101,Home,4,116.24,30.44,4.91,19.6,320.65,Card,Returned,East
169,695,2025-12-22,190,Electronics,5,33.3,5.87,6.71,14.57,-27.44,Cash,Completed,East
170,987,2025-03-03,265,Books,1,246.77,47.72,28.57,7.48,995.3,Card,Completed,South
171,52,2025-11-13,125,Home,4,241.24,32.99,2.87,9.56,335.47,UPI,Completed,West
172,1018,2026-05-06,191,Electronics,2,89.08,12.61,12.39,19.41,520.95,Cash,Pending,West
173,177,2025-06-30,193,Books,1,64.07,33.14,19.82,18.61,222.21,Card,Pending,West
174,338,2025-03-14,143,Electronics,3,45.46,25.19,11.27,13.49,,Card,Cancelled,North
174,338,2025-03-14,143,Electronics,3,45.46,25.19,11.27,13.49,,Card,Cancelled,North
176,335,2025-06-21,104,Electronics,2,137.09,31.59,12.71,5.44,851.94,Cash,Returned,South
177,604,2025-10-04,294,Electronics,4,28.51,16.79,28.26,0.21,685.03,Cash,Completed,East
178,203,2026-05-10,294,Books,4,9.45,29.62,9.47,8.0,790.64,Card,Pending,West
179,258,2026-03-03,246,Electronics,4,225.39,38.83,20.52,10.14,488.71,UPI,Completed,East
180,803,2026-04-12,295,Electronics,1,281.23,46.2,23.63,13.64,351.0,Card,Cancelled,East
181,571,2025-10-04,286,Electronics,1,206.13,24.41,1.88,16.98,412.29,UPI,Pending,South
182,599,2026-05-16,199,Home,5,289.91,37.83,8.92,17.43,599.72,UPI,Pending,West
183,231,2025-12-12,233,Books,2,38.0,25.86,7.04,4.85,957.87,Cash,Pending,South
184,593,2025-10-22,259,Home,1,262.56,36.46,11.07,4.5,594.0,Cash,Pending,West
185,584,2025-09-05,144,Electronics,4,121.62,24.93,3.64,19.55,270.52,Card,Completed,South
186,360,2025-12-22,135,Books,5,67.17,3.99,2.58,14.55,489.27,UPI,Returned,North
187,938,2025-08-30,265,Electronics,3,19.8,29.91,24.38,9.18,895.02,UPI,Completed,East
188,856,2025-02-17,139,Books,5,128.14,34.99,14.17,17.84,963.56,Cash,Returned,North
189,186,2025-07-03,188,Home,1,16.72,13.42,8.64,6.25,,UPI,Cancelled,West
190,255,2025-07-14,251,Home,3,172.39,47.89,13.86,10.01,,Cash,Returned,East
191,15,2025-04-17,234,Books,2,207.22,15.23,14.36,11.85,434.4,Cash,Cancelled,South
192,848,2025-03-18,154,Books,1,294.59,42.97,18.42,6.7,461.17,UPI,Returned,East
193,882,2025-11-14,224,Books,2,240.08,33.21,4.3,5.54,810.6,UPI,Cancelled,North
194,341,2025-10-24,266,Electronics,3,61.0,46.72,22.09,8.07,419.37,Cash,Cancelled,East
195,229,2026-02-25,260,Books,1,288.06,6.28,2.0,17.32,970.46,UPI,Pending,West
196,92,2025-09-29,167,Electronics,4,198.62,21.24,3.5,3.32,589.69,Cash,Returned,North
197,899,2025-11-17,133,Electronics,5,170.15,1.66,29.44,19.87,783.88,UPI,Pending,South
198,549,2025-05-06,188,Home,2,174.98,45.63,22.0,16.98,129.35,UPI,Cancelled,South
199,76,2025-10-26,243,Electronics,5,185.84,11.22,21.55,4.68,-3.04,UPI,Cancelled,East
200,156,2025-04-17,199,Home,5,170.42,12.17,12.5,9.12,372.61,Cash,Cancelled,North
201,161,2026-02-02,151,Books,4,175.92,18.96,22.03,8.57,86.78,Cash,Cancelled,West
202,164,2025-01-11,147,Electronics,4,81.97,37.0,15.09,5.56,170.26,Card,Completed,South
203,867,2025-01-08,100,Home,5,71.54,18.33,12.88,13.76,540.35,Cash,Pending,North
204,192,2026-01-13,184,Electronics,3,197.89,18.75,26.64,6.73,465.4,Cash,Cancelled,North
205,304,2025-02-24,229,Books,3,99.26,28.41,16.9,2.21,803.92,Card,Cancelled,North
206,946,2026-03-21,212,Electronics,5,217.23,47.64,15.32,8.19,927.68,Card,Completed,South
207,895,2025-12-13,112,Electronics,2,70.58,49.62,20.98,12.25,999.18,Card,Returned,East
208,872,2026-05-14,232,Electronics,1,13.51,38.25,13.18,1.58,-11.53,Cash,Pending,East
209,408,2025-09-16,219,Books,5,202.31,47.49,7.55,16.78,194.82,UPI,Returned,South
210,992,2025-01-13,193,Home,2,17.07,16.22,9.02,4.47,121.74,UPI,Completed,South
211,43,2026-03-03,179,Home,5,189.22,21.76,15.2,15.19,332.37,Cash,Pending,North
212,523,2025-01-14,174,Books,3,211.81,3.29,12.85,16.27,674.83,Card,Completed,East
213,577,2025-06-15,110,Electronics,2,244.41,15.1,18.13,18.02,947.07,Card,Returned,West
214,948,2025-03-18,213,Books,4,245.83,36.36,18.44,10.86,29.05,Card,Returned,South
215,907,2025-05-04,283,Electronics,2,26.85,7.27,15.32,2.55,466.85,UPI,Cancelled,East
216,1016,2025-01-22,266,Books,1,293.78,8.41,4.24,7.66,536.39,UPI,Completed,West
217,556,2026-01-10,232,Electronics,3,6.87,12.48,17.87,6.46,385.11,UPI,Completed,North
218,241,2026-01-09,273,Home,2,30.56,41.79,6.63,15.04,99.72,Cash,Returned,North
219,770,2026-02-06,156,Books,1,106.81,37.44,19.89,3.94,58.07,Cash,Completed,West
220,616,2025-03-07,285,Books,2,112.73,37.07,17.93,12.23,891.59,Cash,Returned,East
221,21,2025-06-14,200,Books,2,197.24,39.01,6.62,11.13,466.52,Cash,Cancelled,South
222,200,2026-01-01,153,Electronics,5,146.27,16.83,27.92,6.14,673.36,Card,Completed,North
223,330,2026-01-11,206,Books,4,129.77,17.65,4.16,7.08,771.32,Cash,Pending,West
224,855,2025-10-29,104,Books,4,48.89,31.76,6.92,11.31,254.28,Cash,Pending,North
225,935,2026-01-01,144,Home,5,107.3,10.06,10.64,3.0,401.17,UPI,Completed,South
226,11,2025-04-24,133,Books,3,294.49,7.24,19.88,9.96,248.09,Cash,Completed,North
227,482,2025-02-17,189,Electronics,1,76.42,45.49,8.68,14.45,494.59,UPI,Returned,East
228,51,2026-01-02,111,Electronics,2,31.69,0.23,25.33,4.65,536.74,Card,Returned,South
229,407,2025-07-15,230,Electronics,4,288.59,3.83,28.22,19.84,790.35,UPI,Completed,South
230,123,2025-07-04,270,Books,4,64.54,1.28,8.5,17.32,510.08,UPI,Pending,South
231,865,2025-10-07,153,Books,2,88.63,12.8,5.4,16.85,976.36,UPI,Pending,North
232,679,2025-05-09,211,Electronics,5,68.73,24.18,29.69,5.63,351.26,Card,Pending,East
233,434,2026-02-05,109,Books,2,178.07,36.07,5.31,3.15,644.98,UPI,Completed,West
233,434,2026-02-05,109,Books,2,178.07,36.07,5.31,3.15,644.98,UPI,Completed,West
235,929,2025-10-16,118,Electronics,1,294.01,2.15,6.66,14.1,7.32,UPI,Pending,South
236,503,2025-12-20,139,Home,5,94.46,11.05,6.44,1.87,131.29,UPI,Completed,West
237,962,2026-04-28,152,Electronics,5,232.64,12.89,22.99,6.66,,UPI,Cancelled,West
238,796,2025-08-16,127,Electronics,3,75.78,22.51,12.84,1.25,182.54,Card,Returned,North
239,121,2025-07-25,130,Books,4,127.28,17.05,17.63,2.62,112.98,Card,Completed,South
240,540,2026-05-14,219,Home,1,146.56,48.96,3.18,12.83,518.09,Card,Completed,West
241,200,2025-01-29,181,Home,5,181.53,1.89,20.8,6.81,807.41,Card,Cancelled,North
242,80,2026-01-19,130,Books,1,275.47,49.85,14.11,4.26,530.34,Card,Completed,East
243,780,2025-07-12,221,Books,3,34.05,46.67,27.51,2.64,20.52,Card,Returned,North
244,244,2025-11-26,107,Books,4,188.64,24.09,28.49,12.08,274.83,UPI,Returned,East
245,319,2026-05-07,187,Electronics,1,171.74,12.65,8.59,19.23,602.01,Cash,Returned,West
246,708,2025-01-15,241,Books,3,233.81,28.73,4.1,6.94,603.86,UPI,Completed,West
247,115,2025-03-11,163,Home,4,206.39,11.09,16.48,4.41,49.58,Card,Completed,West
248,434,2025-12-02,146,Electronics,5,299.81,16.1,10.62,16.7,,Card,Returned,North
249,140,2026-03-08,240,Electronics,3,79.3,17.23,22.86,8.75,554.15,Cash,Returned,East
250,213,2026-03-15,171,Books,4,278.24,43.78,11.49,14.43,-13.09,UPI,Pending,South
251,221,2025-06-07,160,Electronics,4,290.03,0.19,8.43,9.94,405.58,Card,Cancelled,South
251,221,2025-06-07,160,Electronics,4,290.03,0.19,8.43,9.94,405.58,Card,Cancelled,South
253,400,2025-09-01,101,Electronics,1,259.3,24.96,25.33,0.47,789.7,Cash,Cancelled,West
254,843,2025-11-07,210,Electronics,3,189.14,35.86,23.18,5.98,-26.83,Cash,Returned,North
255,330,2025-10-23,146,Home,5,170.94,13.16,16.54,8.32,679.65,UPI,Cancelled,West
256,21,2025-01-05,153,Books,1,14.62,45.17,28.56,4.31,48.71,UPI,Pending,West
257,265,2025-08-25,202,Books,1,17.25,34.84,11.72,6.83,430.4,Card,Returned,South
258,334,2026-01-28,154,Home,4,94.7,43.09,1.57,15.61,79.18,Cash,Cancelled,West
259,775,2025-12-29,162,Books,4,132.39,39.1,13.27,7.33,801.2,Cash,Completed,South
260,469,2025-01-06,141,Electronics,5,249.71,38.15,18.15,1.48,505.48,Cash,Completed,North
261,905,2025-02-20,298,Home,4,185.16,28.7,20.54,8.73,346.29,UPI,Returned,North
262,230,2026-04-28,104,Electronics,2,70.9,27.21,10.79,18.74,214.97,UPI,Cancelled,West
263,402,2026-01-14,260,Books,2,36.15,9.93,25.18,15.51,196.09,UPI,Returned,West
264,601,2025-09-06,169,Electronics,2,66.06,6.96,4.97,4.98,410.69,UPI,Returned,South
265,963,2026-04-05,167,Home,1,274.0,1.28,27.87,2.2,130.5,UPI,Completed,East
266,129,2025-07-21,293,Home,5,276.25,26.36,3.14,15.06,718.76,Cash,Completed,North
267,402,2025-09-17,219,Home,2,57.59,16.09,29.78,17.95,689.2,Card,Pending,East
268,215,2025-09-08,235,Books,1,32.0,45.44,27.4,6.53,721.89,Card,Completed,North
269,533,2025-07-12,266,Home,4,267.15,32.01,23.59,15.82,108.16,UPI,Completed,East
270,948,2026-03-31,242,Home,3,101.16,39.72,20.61,5.6,784.13,Card,Cancelled,South
271,164,2025-12-26,125,Home,2,259.43,15.09,10.37,8.78,152.7,Cash,Completed,North
272,795,2025-12-15,123,Books,2,120.64,29.34,1.73,9.65,886.25,Card,Returned,East
273,845,2025-08-21,280,Books,1,94.79,38.41,24.55,17.77,,UPI,Returned,South
274,713,2026-02-15,202,Home,2,33.59,24.88,15.45,4.19,-14.47,UPI,Pending,South
275,27,2025-06-26,161,Home,3,242.76,8.37,21.42,18.7,966.6,UPI,Completed,East
276,301,2026-05-15,257,Books,3,254.27,38.3,9.91,9.91,558.05,UPI,Cancelled,West
277,780,2026-04-17,166,Electronics,2,244.47,10.53,18.06,1.18,497.4,UPI,Cancelled,North
278,635,2025-09-10,295,Books,2,60.08,34.88,21.36,6.64,725.39,Cash,Pending,North
279,787,2025-08-16,181,Books,4,67.49,49.99,6.67,12.24,727.72,UPI,Pending,West
280,765,2026-04-15,222,Books,1,75.84,3.39,9.62,18.86,337.82,Card,Pending,South
281,538,2025-07-03,293,Books,4,116.37,15.87,13.63,13.67,580.46,Card,Returned,West
282,139,2026-02-05,272,Home,5,71.48,47.14,1.51,13.24,567.57,Cash,Pending,East
283,75,2026-05-03,161,Books,1,199.44,15.48,13.39,13.13,548.84,Card,Returned,South
284,13,2025-11-11,135,Home,1,76.16,22.3,17.29,19.0,329.56,Cash,Cancelled,South
